t_center_s,dt_contact_s,a_xy_peak_m_s2,dv_h_endpoints_m_s,dv_h_integral_m_s,F_peak_N,F_avg_from_impulse_N,v_before_m_s,v_after_m_s,i_seed
17.160271,0.039658,6.8959,0.0217,0.0824,82.4,24.8,1.6021,1.5804,851
17.260460,0.059431,5.0637,0.0692,0.0773,60.5,15.5,1.3720,1.3029,871
17.299893,0.200023,3.7777,0.5008,0.4757,45.1,29.9,1.8036,1.3029,877
17.439851,0.040185,1.8506,0.0409,0.0416,22.1,12.4,1.2812,1.2403,883
17.580058,4.680203,0.9074,0.2783,0.2789,10.8,0.7,1.2108,0.9325,888
18.319874,4.680203,0.7035,0.2783,0.2789,8.4,0.7,1.2108,0.9325,908
18.779870,4.680203,0.7188,0.2783,0.2789,8.6,0.7,1.2108,0.9325,928
19.119851,4.680203,0.7189,0.2783,0.2789,8.6,0.7,1.2108,0.9325,948
