TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ
18276260,0.0003929231,-0.0004982117,-0.0004276079,-0.2037249,-0.1597767,-9.778564
18296822,0.0005084079,-0.000487089,0.0006373684,-0.1861441,-0.1285237,-9.780337
18316274,0.0004555931,-0.0005544408,0.000982263,-0.1101395,-0.1162317,-9.787014
18336287,0.0002584628,-0.000186753,0.0009715571,-0.07642906,-0.1307601,-9.782089
18356276,0.0003347703,-0.0002763846,0.0009941809,-0.07993533,-0.1398256,-9.787008
18376245,0.0006592728,-0.001053437,0.0007252457,-0.1069037,-0.125724,-9.786315
18396647,0.000779421,-0.001102882,-7.786803e-05,-0.1662807,-0.1315666,-9.789835
18416285,0.000596386,-0.0008128622,-0.0004602525,-0.1929114,-0.1438613,-9.783635
18436207,0.0003811059,-0.0006695384,-0.0002767497,-0.1518519,-0.1327755,-9.779737
18456490,9.719648e-05,-0.0005349201,1.904731e-05,-0.10931,-0.1370191,-9.785362
18476269,-0.0001931171,-0.0007584966,0.0002415215,-0.1032224,-0.1512465,-9.797527
18496620,-0.0003448453,-0.0003887983,0.000437983,-0.1131333,-0.1500825,-9.799937
18516278,-0.0003753398,-0.0001995358,0.0003981431,-0.1324996,-0.1358836,-9.781012
18536227,-0.0004565622,-6.596751e-05,4.316365e-06,-0.1583063,-0.1363759,-9.781396
18556273,-0.0005122704,1.806252e-07,8.638994e-06,-0.1585779,-0.1440182,-9.781451
18576287,-0.0004089123,-2.568711e-05,0.0002803468,-0.1267464,-0.1371084,-9.789707
18596611,-0.0001123273,-0.000280992,0.000197916,-0.1132057,-0.1291028,-9.796206
18616476,0.0003868253,-0.0004530038,2.222026e-06,-0.120654,-0.137139,-9.791083
18636246,0.000440255,-0.0003161995,-2.835036e-05,-0.1270761,-0.1280645,-9.788966
18656275,0.0003840291,-2.134102e-05,0.0001194766,-0.1239438,-0.1220741,-9.783879
18676262,0.000243167,-5.77162e-05,0.0003449096,-0.1322241,-0.1387731,-9.782722
18696650,-0.0001177539,0.0001916317,0.0006210331,-0.1293064,-0.1462172,-9.78555
18716271,-0.0002434313,0.0001908485,0.0007410972,-0.125335,-0.1311369,-9.78722
18736252,-0.0004502771,-2.851358e-05,0.0004659297,-0.1390694,-0.1325709,-9.791037
18756308,-0.0004135375,-0.0002538954,0.0004719402,-0.1455354,-0.1407274,-9.801559
18776459,-0.0002964335,-0.0002583863,0.0007024634,-0.1383252,-0.1351223,-9.790048
18796569,0.0001728507,-0.0003183372,0.0007643339,-0.126923,-0.1290694,-9.789865
18816251,0.000377118,-0.0003912954,0.000576203,-0.1347201,-0.1400274,-9.792558
18836231,-0.0002710306,-1.585641e-05,0.0007706056,-0.1322101,-0.1469252,-9.792894
18856271,-0.0005544384,-0.0001579851,0.0008364957,-0.121449,-0.1399655,-9.791955
18876280,-0.0006899574,-0.0004881416,0.0007793721,-0.11873,-0.1408819,-9.788323
18896610,-0.0004380008,-0.0009917405,0.0004171918,-0.1242613,-0.1535507,-9.792018
18916335,0.0001010648,-0.001503387,0.0001809529,-0.117936,-0.1455575,-9.801141
18936476,0.000648064,-0.001789498,0.0001770316,-0.1142135,-0.136634,-9.788218
18956273,0.000808164,-0.001474522,0.0001512188,-0.121991,-0.1392625,-9.792324
18976243,0.0007774354,-0.001329198,0.0001298874,-0.1337765,-0.1416221,-9.793804
18996611,0.0004817183,-0.001039801,-1.854121e-05,-0.1395147,-0.132507,-9.791856
19016263,0.0002340193,-0.0009252132,0.0002283374,-0.1445787,-0.129892,-9.791338
19036250,0.0001137595,-0.00104644,0.0003659776,-0.1521663,-0.1344718,-9.794595
19056292,0.0001059925,-0.001347576,0.0004439759,-0.139351,-0.1408808,-9.791031
19076236,0.0005188133,-0.001225975,0.0002071566,-0.12533,-0.1410533,-9.796515
19096797,0.0006476595,-0.001171221,-6.295629e-05,-0.1211895,-0.1300076,-9.791177
19116253,0.0008812183,-0.001488481,-0.0003561114,-0.1354945,-0.1409237,-9.783579
19136249,0.001124795,-0.001768365,-0.0002739702,-0.1476066,-0.1435873,-9.786022
19156328,0.001229405,-0.00164649,-3.626843e-06,-0.1364005,-0.1336676,-9.794145
19176254,0.001206912,-0.001722614,0.0002052045,-0.1255862,-0.1278941,-9.790048
19196629,0.001009967,-0.001437722,1.160139e-06,-0.114655,-0.1244663,-9.780433
19216268,0.001147265,-0.0007062826,-0.0003294444,-0.1215372,-0.1340956,-9.777498
19236253,0.001304437,-0.0004677078,-0.000395265,-0.125623,-0.1358755,-9.781493
19256489,0.001401673,-0.0003953964,-0.0001251431,-0.1203008,-0.1270555,-9.785328
19276240,0.001249777,-0.0002080514,0.0002400056,-0.1224465,-0.1182768,-9.79495
19296644,0.0009094633,-7.897382e-05,0.000318934,-0.1351313,-0.1256087,-9.78214
19316252,0.0004900762,8.804835e-05,0.000450394,-0.1374988,-0.1347238,-9.77385
19336241,3.127091e-05,0.0004189453,0.000599492,-0.1117173,-0.1458238,-9.7769
19356291,-0.000400699,0.0007566691,0.0004683368,-0.1033367,-0.1425992,-9.789618
19376239,-0.0003902491,0.0008223353,0.0003902761,-0.09703901,-0.148823,-9.792623
19396588,-0.0002061337,0.0003017763,0.0003708237,-0.109809,-0.1369653,-9.787527
19416477,-0.0001448686,0.0001109862,0.0002938776,-0.1301213,-0.1161311,-9.780932
19436245,-0.0001460921,-0.0003727307,-4.096002e-05,-0.1395593,-0.1296075,-9.77916
19456273,-6.589987e-05,-0.0008432715,-0.000253837,-0.1492977,-0.1403714,-9.790949
19476239,-0.0002348799,-0.0007744061,-7.884583e-05,-0.1432183,-0.1381713,-9.795764
19496615,-0.0003970077,-0.001119301,5.512782e-05,-0.1347156,-0.1280205,-9.797291
19516258,-0.0004352182,-0.001466379,0.0001027431,-0.1247699,-0.1230175,-9.791733
19536237,-0.0003203615,-0.001918335,0.0003323207,-0.1289077,-0.1263668,-9.783152
19556274,6.642228e-05,-0.002063331,0.0005539068,-0.1311001,-0.1348655,-9.786412
19576424,0.0005014737,-0.001926634,0.0004145312,-0.1251971,-0.1452214,-9.779969
