TimeUS,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,VN,VE,VD,V_horiz_m_s,V_3D_m_s,KE_horiz_J,KE_3D_J
5648308,-0.4829052,-0.7576322,-9.73178,4.738191e-05,-0.001313249,0.0001337461,-0.0001189954,-3.142068e-05,0.003079969,0.0001230738166826007,0.003082426999186489,9.050430700811382e-08,5.6770603326750084e-05
5668120,-0.4862749,-0.7581423,-9.736176,-0.0002443882,-0.001263074,0.0002245526,-0.0001955379,-6.632694e-05,0.005483136,0.00020648083036004482,0.005487022391771531,2.5474014150438726e-07,0.00017989180299861801
5688045,-0.492163,-0.7589802,-9.74429,0.0001522327,-0.001471929,3.846947e-05,-0.0006733374,-0.0001594169,0.008162416,0.0006919515895236964,0.008191692862851999,2.8608120884101105e-06,0.00040094539595681973
5708193,-0.4857601,-0.7586688,-9.741373,0.00037956,-0.001311083,1.617326e-05,-0.0002888844,-0.0001483185,0.01157276,0.0003247346208915982,0.011577315171990682,6.300791296835197e-07,0.0008008545038848436
5728082,-0.4706004,-0.7627866,-9.734339,0.0009243159,-0.001087552,-4.114931e-05,-0.0001535947,-0.0003665008,0.01590103,0.00039738415704294254,0.015905994757611633,9.435371554056619e-07,0.0015116789986442832
5748140,-0.4667469,-0.7639126,-9.727866,0.0008349339,-0.0005440604,-6.992056e-05,5.587074e-05,-0.0004155305,0.0207892,0.00041926976520898526,0.020793427417720688,1.0503281377099259e-06,0.00258339057706171
5768129,-0.4722064,-0.7630858,-9.72276,0.0008760357,-0.0001835269,-5.856775e-05,0.0001538643,-0.0005261276,0.02605896,0.0005481646415961632,0.026064724835606765,1.7953947339200938e-06,0.004059235037516479
5788259,-0.4712026,-0.7611829,-9.726405,0.0004942404,0.0001619878,8.766128e-05,0.0004477001,-0.0006418998,0.03133123,0.000782605093760608,0.03134100260115621,3.659512628360799e-06,0.005868994203172938
5808541,-0.4749665,-0.7654943,-9.739116,8.598703e-05,0.0004952058,0.0001455394,0.0003596315,-0.0009122799,0.0357306,0.0009806066651498245,0.03574405357247183,5.745496854624153e-06,0.007633883260605625
5828139,-0.486304,-0.7594061,-9.737597,-0.0002794447,0.0006525745,0.0001324642,0.0001103865,-0.00079735,0.04082493,0.0008049547825078437,0.04083286497059425,3.871514406246443e-06,0.009962254098698026
5848250,-0.4898948,-0.7512882,-9.727735,-0.0009216818,0.0005941361,0.0004166317,-3.69453e-05,-0.0005905119,0.04530387,0.000591666510150524,0.04530773340431117,2.091663823921358e-06,0.0122654244697609
5868181,-0.4882908,-0.7527265,-9.731506,-0.0005627745,-5.259269e-05,0.0004843604,-0.0002995557,-0.0006425355,0.04974503,0.0007089326386637449,0.049750081358597424,3.002948279822371e-06,0.0147885468062427
5888168,-0.4826503,-0.7591907,-9.728947,-0.0005003452,-0.000267341,0.0003871892,-4.450261e-05,-0.0007069024,0.05412959,0.0007083018321468412,0.05413422397202645,2.9976066253998674e-06,0.017509822375194797
5908563,-0.4745149,-0.754959,-9.734366,0.000114165,-0.0004101078,0.000111772,-3.713421e-05,-0.000546272,0.05831534,0.0005475326908380212,0.05831791038234426,1.7912574840295365e-06,0.02032084756139474
5928179,-0.4790599,-0.7547511,-9.743374,0.0004428938,4.405142e-05,-3.431856e-05,-6.847071e-05,-0.0006059884,0.06201892,0.0006098443892194665,0.062021918288178275,2.2221633198982227e-06,0.02298414213016914
5948394,-0.4896776,-0.7558222,-9.737562,0.0007186744,0.0004142935,-0.0001139649,-0.0004573232,-0.000527537,0.06599283,0.0006981688876104693,0.06599652302359972,2.912452778872759e-06,0.026024357780947055
5968174,-0.4831493,-0.7520971,-9.722149,0.001068841,0.0003180138,2.394575e-06,-0.0002076492,-0.0004640766,0.06999208,0.0005084144774966582,0.06999392650800015,1.544449553545995e-06,0.029272419744343775
5988105,-0.4833619,-0.7535428,-9.724819,0.001526237,-0.0001724493,0.0001535194,-0.0004736962,-0.0004177492,0.07371239,0.0006315872734587675,0.07371509575382844,2.383442341870603e-06,0.03246764416842667
6008551,-0.4815316,-0.7567539,-9.731214,0.001563463,-0.0002954811,0.0002135042,-0.0003884616,-0.0003459914,0.07700077,0.0005202042517593642,0.07700252718616739,1.616909469702407e-06,0.03542810042851227
