TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ
5648308,4.738191e-05,-0.001313249,0.0001337461,-0.4829052,-0.7576322,-9.73178
5668120,-0.0002443882,-0.001263074,0.0002245526,-0.4862749,-0.7581423,-9.736176
5688045,0.0001522327,-0.001471929,3.846947e-05,-0.492163,-0.7589802,-9.74429
5708193,0.00037956,-0.001311083,1.617326e-05,-0.4857601,-0.7586688,-9.741373
5728082,0.0009243159,-0.001087552,-4.114931e-05,-0.4706004,-0.7627866,-9.734339
5748140,0.0008349339,-0.0005440604,-6.992056e-05,-0.4667469,-0.7639126,-9.727866
5768129,0.0008760357,-0.0001835269,-5.856775e-05,-0.4722064,-0.7630858,-9.72276
5788259,0.0004942404,0.0001619878,8.766128e-05,-0.4712026,-0.7611829,-9.726405
5808541,8.598703e-05,0.0004952058,0.0001455394,-0.4749665,-0.7654943,-9.739116
5828139,-0.0002794447,0.0006525745,0.0001324642,-0.486304,-0.7594061,-9.737597
5848250,-0.0009216818,0.0005941361,0.0004166317,-0.4898948,-0.7512882,-9.727735
5868181,-0.0005627745,-5.259269e-05,0.0004843604,-0.4882908,-0.7527265,-9.731506
5888168,-0.0005003452,-0.000267341,0.0003871892,-0.4826503,-0.7591907,-9.728947
5908563,0.000114165,-0.0004101078,0.000111772,-0.4745149,-0.754959,-9.734366
5928179,0.0004428938,4.405142e-05,-3.431856e-05,-0.4790599,-0.7547511,-9.743374
5948394,0.0007186744,0.0004142935,-0.0001139649,-0.4896776,-0.7558222,-9.737562
5968174,0.001068841,0.0003180138,2.394575e-06,-0.4831493,-0.7520971,-9.722149
5988105,0.001526237,-0.0001724493,0.0001535194,-0.4833619,-0.7535428,-9.724819
6008551,0.001563463,-0.0002954811,0.0002135042,-0.4815316,-0.7567539,-9.731214
6028180,0.001056649,-0.0006714446,0.0002110682,-0.4811179,-0.7537895,-9.736298
6048215,0.0007913818,-0.0007981127,0.0001212578,-0.4821284,-0.7603945,-9.737712
6068159,0.0003386209,-0.0003692365,2.171675e-05,-0.4717845,-0.76713,-9.722418
6088161,0.0003125496,9.090211e-05,2.5966e-05,-0.4684975,-0.7690883,-9.725396
6108737,0.0001091232,0.0007630385,2.306922e-05,-0.4741386,-0.7593029,-9.718991
6128178,-1.03297e-05,0.001132409,3.202069e-05,-0.4819627,-0.7577665,-9.723503
6148181,1.354475e-05,0.001356352,-9.510505e-05,-0.4750928,-0.7566775,-9.729336
6168236,-0.0002121239,0.001154902,-2.156942e-06,-0.471589,-0.7566155,-9.735209
6188170,-0.0001477231,0.0009223172,0.0001386793,-0.4755951,-0.758029,-9.736108
6208565,-0.0001890193,0.0006371716,0.0001885884,-0.4744561,-0.7578315,-9.741532
6228199,0.0002018516,0.000241482,4.738111e-05,-0.4837058,-0.7589171,-9.742177
6248179,0.0003161053,-3.179877e-05,8.869712e-05,-0.4814642,-0.7581182,-9.739504
6268361,0.0003658201,-8.811508e-05,0.0002173577,-0.4741985,-0.7552705,-9.740012
6288171,0.0001263041,0.0001763371,0.0002058686,-0.4682487,-0.7523123,-9.735011
6308558,-0.0001347464,0.0003052668,0.0002274008,-0.4664496,-0.7517776,-9.7291
6328145,-0.000284125,0.0003691595,0.0001747681,-0.4672507,-0.7626245,-9.732626
6348207,3.088552e-05,0.0003635057,1.993981e-05,-0.4767129,-0.7658658,-9.740767
6368166,0.0001528468,0.0004386225,-7.726946e-05,-0.480262,-0.7607546,-9.755413
6388170,0.0001367228,0.0005219578,2.656909e-05,-0.4759538,-0.76189,-9.744417
6408574,0.0001582199,0.0005195182,-5.741757e-05,-0.4819541,-0.766423,-9.741467
6428377,0.000146109,0.0005547029,-3.293e-05,-0.4776684,-0.7604558,-9.745101
6448220,0.0001956254,-0.0001605006,-6.744642e-06,-0.4726749,-0.7580576,-9.744878
6468195,-1.929239e-05,-0.0002348656,1.899237e-05,-0.4730056,-0.757935,-9.742755
6488155,-8.65464e-05,2.65961e-06,0.0002180898,-0.4737544,-0.7587897,-9.738675
6508536,0.0002335566,-0.0001342941,0.0002272,-0.4687396,-0.7564805,-9.75088
6528172,0.0004482426,5.271507e-05,5.928754e-05,-0.4664877,-0.7584587,-9.73597
6548232,0.0006337828,0.0005931121,-0.0003549984,-0.4748969,-0.7571303,-9.735503
6568158,0.0005181983,0.00117666,-0.0004320769,-0.468981,-0.7566921,-9.743461
6588338,0.0003814921,0.001610933,-0.000145877,-0.4718177,-0.7577506,-9.737129
6608544,-0.000224797,0.002026244,0.000111102,-0.4784822,-0.7581564,-9.729485
6628190,-0.0003834342,0.001599501,0.0001915514,-0.4799788,-0.7629012,-9.740059
6648264,-9.957646e-05,0.0008822944,0.0003471447,-0.4835736,-0.7621196,-9.747234
6668153,0.0001377911,0.0001140147,0.0005154078,-0.4850025,-0.7572191,-9.743836
6688182,0.0002813531,-0.0003922167,0.0005265429,-0.4776624,-0.7544214,-9.732396
