TimeUS,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,VN,VE,VD,V_horiz_m_s,V_3D_m_s,KE_horiz_J,KE_3D_J
143696563,-0.08477988,-0.1518418,-9.769002,-0.0007274665,0.0007821659,5.944489e-05,-0.03285887,-0.1424919,0.01109858,0.14623148396732796,0.14665205549634586,0.12776729024713918,0.12850328165328725
143716242,-0.07521618,-0.1494102,-9.760532,-0.00118676,0.001321945,0.0002781247,-0.03202647,-0.1425098,0.01158399,0.1460641567144414,0.14652278560354018,0.12747505881328783,0.12827683703860046
143736385,-0.07777935,-0.1452387,-9.772438,-0.001152259,0.0008350073,0.0003211517,-0.03120077,-0.1427887,0.0114635,0.1461577945108741,0.14660665990511104,0.12763855285529033,0.12842373855298403
143756251,-0.08270001,-0.1434883,-9.786319,-0.000878959,0.0004095264,0.0002587845,-0.03047864,-0.1427761,0.01132171,0.1459930211601212,0.14643136052356986,0.12735092430907108,0.12811680648508256
143776172,-0.0832113,-0.1452137,-9.794836,-0.0008254652,0.0002778232,0.0002174079,-0.02959693,-0.1430523,0.01105858,0.14608195918974695,0.1464999351273962,0.1275061343342715,0.1282368301791795
143796573,-0.07980671,-0.1345415,-9.794791,-0.000474005,-0.0002473807,3.817901e-05,-0.02882046,-0.1435442,0.01094718,0.14640886676786896,0.14681756372520285,0.12807744870280333,0.1287934971837689
143816242,-0.08236122,-0.1400247,-9.798841,-0.0003937487,-3.528382e-05,-0.0002196019,-0.02778814,-0.143379,0.01074785,0.14604697314788692,0.14644191560233735,0.1274450672348161,0.12813527700556052
143836245,-0.09060277,-0.1468051,-9.787833,-0.0003475084,-7.812974e-05,-0.0002708922,-0.0267154,-0.1434181,0.01094452,0.14588510549322709,0.1462950666386273,0.1271627224285007,0.12787842297373236
143856323,-0.0820336,-0.14948,-9.778419,-0.0003315745,-0.0005824436,-0.0002940221,-0.02606857,-0.1434166,0.01112179,0.1457665650874881,0.14619023808110104,0.12695615169699428,0.1276952246184988
143876210,-0.07136725,-0.1460318,-9.781226,-0.000419542,-0.0008809388,-0.0003276847,-0.02556679,-0.1436242,0.01094966,0.14588204679309963,0.14629240113778877,0.12715739016985106,0.1278737631181917
143896805,-0.08082589,-0.1525105,-9.793568,-0.000243662,-0.00135833,-0.0001444487,-0.02434951,-0.1433721,0.01053627,0.14542509307423565,0.1458062779209558,0.12636203473150937,0.12702533731994894
143916280,-0.07631776,-0.1451077,-9.791426,0.0001889742,-0.001873384,-4.808974e-05,-0.02397483,-0.1436027,0.01075965,0.14559027412852446,0.1459873213294271,0.12664925432689292,0.12734098048392486
143936206,-0.07574691,-0.1426494,-9.778885,0.0002786813,-0.002400549,-1.391631e-05,-0.02309389,-0.1437557,0.01096724,0.14559886344962347,0.14601133309109843,0.12666419850098706,0.12738287361146217
143956256,-0.07840034,-0.1405486,-9.770249,0.0001809919,-0.002006016,0.0002009947,-0.02234836,-0.1438288,0.01099531,0.14555470759865377,0.14596941373495237,0.12658738310217435,0.12730974173310106
143976204,-0.07841478,-0.1414826,-9.773377,0.0002906348,-0.001287294,0.0003355969,-0.02177791,-0.1441625,0.01114794,0.14579816106596855,0.1462237338343598,0.1270111950270532,0.12775374751035865
143996604,-0.07705359,-0.1391901,-9.774817,0.0006137082,-0.0006507505,0.0002250217,-0.02091545,-0.1443044,0.01109319,0.1458122625435272,0.14623363078457227,0.12703576505067346,0.12777104176532064
144016216,-0.07954101,-0.1409606,-9.780603,0.0005744852,-0.0002441903,0.0001335391,-0.01995773,-0.1444314,0.01124979,0.1458037732458008,0.1462371295798608,0.12702097324895953,0.12777715595484804
144036211,-0.07835313,-0.1358673,-9.774269,0.0003392771,-0.0004154607,5.26071e-05,-0.01925135,-0.144678,0.01158094,0.14595320538043177,0.14641194053801113,0.1272814705109144,0.12808282658433398
144056437,-0.08355042,-0.1468913,-9.777516,0.0001557503,-0.001148128,-2.536e-05,-0.01826827,-0.1445202,0.0114799,0.14567023682562233,0.14612188748042812,0.12678841193357654,0.1275758458550363
144076232,-0.09387494,-0.1505143,-9.78571,0.0002997523,-0.001808179,-0.000192251,-0.01716195,-0.1446785,0.011368,0.14569283060621924,0.14613566407298562,0.12682774531806362,0.12759990307646368
144096571,-0.09438454,-0.1568678,-9.791788,0.0005684235,-0.002463367,-0.000112261,-0.01613814,-0.1443035,0.01105404,0.1452030980210464,0.14562325183579442,0.1259765395575849,0.12670663556450643
144116214,-0.08335656,-0.1610539,-9.791826,0.0007376159,-0.002927098,0.0001010559,-0.01551292,-0.1439803,0.01103256,0.14481359561524743,0.14523324294103607,0.12530159041322303,0.12602885175964076
144136222,-0.06575521,-0.1512256,-9.779158,0.001083672,-0.002770826,0.0002531206,-0.01525217,-0.1442718,0.01108751,0.14507577663052126,0.14549884481654485,0.12575571126556967,0.12649023521162026
144156249,-0.06808393,-0.141371,-9.779703,0.0013544,-0.002342205,0.0003294057,-0.01440661,-0.1444211,0.01086679,0.14513788112309653,0.1455441227319269,0.12586340210799005,0.12656897267929204
144176190,-0.0778207,-0.1452521,-9.787906,0.001050673,-0.001861969,0.0004072156,-0.01372069,-0.1444593,0.01074457,0.14510943005389454,0.1455066750188836,0.1258140614761325,0.12650385003842973
144196566,-0.07549106,-0.1453515,-9.787998,0.0006908233,-0.001677016,0.0003323851,-0.01308963,-0.1445175,0.0106956,0.14510908386378468,0.1455027218960075,0.1258134611632267,0.1264969764229027
