TimeUS,Roll,Pitch,Yaw,VN,VE,VD
25725287,2.35,0.33,359.97,0.03126658,0.2740719,-0.3598371
25745339,2.35,0.34,359.97,0.03152085,0.2757828,-0.3598778
25765311,2.35,0.34,359.97,0.03225572,0.2774455,-0.3602404
25785294,2.35,0.33,359.96,0.0328965,0.2794438,-0.3610552
25805302,2.35,0.33,359.96,0.03349956,0.2812133,-0.3612737
25825305,2.35,0.33,359.96,0.03372891,0.2832077,-0.3614694
25845290,2.35,0.33,359.97,0.03420347,0.2849888,-0.3615257
25865312,2.35,0.34,359.97,0.0344048,0.2869151,-0.3619196
25885355,2.36,0.34,359.97,0.03511564,0.2884296,-0.3622127
25905343,2.36,0.34,359.97,0.03552575,0.2902815,-0.3629624
25925287,2.36,0.34,359.97,0.03581668,0.2922398,-0.3635187
25945294,2.36,0.34,359.97,0.03613046,0.2941329,-0.3637528
25965390,2.36,0.34,359.97,0.0370705,0.2958501,-0.3641407
25985287,2.36,0.34,359.97,0.03748852,0.2978981,-0.3649679
26005310,2.36,0.34,359.96,0.03785338,0.299582,-0.3645086
26025318,2.36,0.34,359.97,0.03814314,0.3011442,-0.3646938
26045319,2.36,0.34,359.97,0.03897401,0.3029715,-0.3646218
26065324,2.36,0.34,359.97,0.03941517,0.3046793,-0.3645023
26085342,2.37,0.34,359.97,0.04003812,0.3063132,-0.3646847
26105306,2.37,0.34,359.97,0.04043859,0.3079521,-0.3654213
26125287,2.37,0.34,359.97,0.04044269,0.309678,-0.3654584
26145301,2.37,0.34,359.97,0.04104549,0.3114016,-0.3655247
26165290,2.37,0.34,359.97,0.04186859,0.3132091,-0.3656833
26185293,2.37,0.34,359.97,0.04223439,0.3150078,-0.3659689
26205359,2.38,0.34,359.97,0.04276514,0.3167664,-0.3660165
26225329,2.38,0.34,359.97,0.04321018,0.3183001,-0.3658234
26245301,2.38,0.34,359.96,0.04345063,0.320241,-0.366092
26265317,2.38,0.33,359.96,0.04402054,0.3217376,-0.3666583
26285333,2.39,0.33,359.96,0.04445549,0.3236296,-0.3667834
26305349,2.39,0.33,359.96,0.04492977,0.3252574,-0.3671795
26325332,2.39,0.33,359.96,0.04549986,0.3265566,-0.3670111
26345371,2.39,0.33,359.96,0.04605014,0.3281721,-0.367388
26365290,2.39,0.33,359.97,0.04635772,0.3300523,-0.3676423
26385341,2.39,0.32,359.96,0.04667734,0.3316459,-0.3683714
26405348,2.39,0.32,359.96,0.04758346,0.3334137,-0.3691311
26425370,2.39,0.33,359.96,0.04812776,0.3351077,-0.3694897
26445324,2.39,0.32,359.96,0.04872179,0.3368337,-0.3701044
26465289,2.39,0.32,359.96,0.04902204,0.3385027,-0.3702841
26485294,2.39,0.33,359.96,0.04941209,0.3401287,-0.3705357
26505308,2.39,0.33,359.96,0.04991319,0.3418285,-0.3714368
26525339,2.4,0.33,359.97,0.05037355,0.3431962,-0.3716419
26545317,2.4,0.33,359.97,0.05101504,0.3447821,-0.3719745
26565343,2.4,0.33,359.97,0.05148563,0.3461238,-0.372226
26585335,2.4,0.33,359.97,0.05190432,0.3477797,-0.3726372
26605316,2.4,0.33,359.97,0.05239572,0.3495689,-0.373395
26625322,2.4,0.34,359.97,0.05336832,0.350736,-0.3733406
26645321,2.41,0.33,359.97,0.05371875,0.3522394,-0.3738068
26665293,2.41,0.34,359.97,0.05410472,0.3537636,-0.3737144
26685355,2.41,0.34,359.97,0.05419236,0.355439,-0.3740645
26705340,2.41,0.34,359.97,0.05486485,0.3572202,-0.3744171
26725333,2.41,0.33,359.97,0.05567825,0.3586566,-0.3742696
26745332,2.41,0.33,359.97,0.05627609,0.360229,-0.3744265
26765290,2.41,0.33,359.97,0.05719972,0.3616489,-0.3750036
26785294,2.41,0.34,359.97,0.05776464,0.3635153,-0.3755194
26805334,2.41,0.34,359.97,0.05819738,0.3652239,-0.3760118
26825303,2.41,0.33,359.97,0.05879198,0.3665446,-0.3762666
26845273,2.42,0.33,359.97,0.05941,0.367977,-0.3764179
26865326,2.42,0.33,359.97,0.05996405,0.3694866,-0.3764315
26885290,2.42,0.33,359.97,0.06051255,0.3709802,-0.3765626
26905308,2.42,0.33,359.97,0.06091108,0.3725974,-0.3769161
26925313,2.43,0.33,359.97,0.06158193,0.3737187,-0.3770474
26945314,2.43,0.33,359.97,0.06228204,0.3750406,-0.3767985
26965308,2.43,0.32,359.97,0.06261965,0.376389,-0.3769388
26985308,2.43,0.32,359.97,0.06312367,0.3779381,-0.3771347
27005374,2.43,0.33,359.97,0.06354465,0.3794406,-0.3776276
27025307,2.43,0.33,359.97,0.06405298,0.3806585,-0.3778632
27045272,2.43,0.32,359.97,0.06455521,0.3818479,-0.3778905
27065308,2.44,0.32,359.97,0.06521735,0.383104,-0.378214
27085338,2.44,0.32,359.97,0.06591717,0.3842972,-0.3788478
27105306,2.44,0.32,359.97,0.06628493,0.3860894,-0.3796202
27125303,2.44,0.32,359.97,0.06680587,0.3870788,-0.3798078
27145359,2.44,0.32,359.97,0.06746543,0.3884167,-0.3797842
27165332,2.45,0.32,359.97,0.06855511,0.3895333,-0.3796569
27185321,2.45,0.32,359.97,0.06936121,0.3908725,-0.3805379
27205308,2.45,0.32,359.97,0.07004893,0.3923276,-0.3810642
27225272,2.45,0.32,359.97,0.07094318,0.3932574,-0.3813615
27245320,2.45,0.32,359.97,0.07164012,0.3943293,-0.3813231
27265368,2.46,0.32,359.97,0.07255124,0.3952781,-0.3816826
27285287,2.46,0.32,359.97,0.07289615,0.3964206,-0.3821515
