TimeUS,Roll,Pitch,Yaw,VN,VE,VD
24781059,2.25,-0.06,7.38,0.9908713,0.2920151,-0.07950052
24801092,2.25,0.08,7.63,1.037514,0.341916,-0.09777443
24821203,2.08,0.07,7.77,1.048211,0.3582834,-0.1022744
24841140,2.09,0.03,7.84,1.083083,0.3385357,-0.04156683
24861140,2.28,0.18,7.95,1.11648,0.3720203,-0.1006453
24881139,2.19,0.11,8.01,1.121161,0.3500406,-0.07967358
24901112,2.34,0.19,8.12,1.148095,0.3515363,-0.08585302
24921177,2.21,0.17,8.38,1.168403,0.3748245,-0.1126523
24941136,2.43,0.13,8.73,1.182579,0.3850498,-0.07459485
24961059,2.14,0.19,9.12,1.201383,0.3803177,-0.09004956
24981192,2.29,0.16,9.8,1.245918,0.4070167,-0.1083015
25001136,2.22,0.16,10.4,1.255885,0.4007033,-0.0606276
25021162,2.43,0.12,10.94,1.281284,0.4428624,-0.1216203
25041105,2.44,0.0,11.32,1.307365,0.4441034,-0.0595317
25061127,2.42,0.01,11.72,1.351532,0.564625,-0.172122
25081189,2.51,0.08,12.0,1.379018,0.5005607,-0.1043334
25101151,2.39,0.14,12.36,1.369364,0.5411147,-0.1293935
25121111,2.38,0.18,12.63,1.39029,0.559736,-0.08160369
25141147,2.41,0.32,12.91,1.420871,0.5821689,-0.002954212
25161112,2.49,0.07,13.12,1.426098,0.5884763,-0.06178159
25181154,2.77,0.03,13.36,1.446776,0.5905342,-0.08508692
25201073,2.19,-0.01,13.82,1.45173,0.6110148,-0.09642392
25221155,2.36,-0.06,14.32,1.476463,0.6105071,-0.08024339
25241137,2.27,-0.13,14.86,1.493264,0.645794,-0.09468226
25261059,2.43,-0.22,15.65,1.541398,0.6849484,-0.1352309
25281112,2.26,-0.44,16.44,1.551924,0.6615756,-0.06272802
25301137,2.22,-0.43,17.1,1.603554,0.7267398,-0.09595177
25321171,2.32,-0.58,17.47,1.634703,0.7131507,-0.07362577
25341113,2.13,-0.48,17.87,1.642123,0.8266619,-0.104952
25361097,2.15,-0.6,18.03,1.70628,0.7815275,-0.06095031
25381162,2.32,-0.58,18.22,1.747725,0.7857853,-0.09175984
25401136,2.16,-0.82,18.33,1.761129,0.8415198,-0.03472206
25421160,2.27,-0.64,18.5,1.795307,0.9238449,-0.05907158
25441058,2.33,-0.59,18.55,1.868686,0.9286419,-0.06323728
25461092,2.22,-0.46,18.59,1.846607,0.9729695,-0.05472506
25481159,2.5,-0.57,18.53,1.931863,0.9199017,-0.1526456
25501142,2.13,-0.48,18.55,1.932001,0.9821803,-0.1349332
25521157,2.03,-0.37,18.46,1.986504,1.001206,-0.09273653
25541093,2.31,-0.45,18.26,1.995482,0.9747373,-0.06843488
25561163,2.31,-0.39,18.03,2.034806,1.004896,-0.1230367
25581158,2.15,-0.4,17.73,2.03842,1.013552,-0.08043794
25601138,2.33,-0.49,17.36,2.053633,1.008769,-0.1371372
25621085,2.26,-0.5,17.06,2.067846,0.9900863,-0.07187434
25641151,2.27,-0.32,16.81,2.07671,0.9624476,-0.1132105
25661156,2.34,-0.44,16.62,2.04366,0.957612,-0.1122393
25681170,2.41,-0.5,16.5,2.028479,0.9568327,-0.1436533
25701074,2.27,-0.66,16.37,2.025542,0.9419851,-0.09523275
25721123,2.35,-0.47,16.09,2.02198,0.9534401,-0.09049849
25741153,2.38,-0.47,15.72,2.005512,0.9443173,-0.111418
25761140,2.36,-0.41,15.23,2.004282,0.9592662,-0.1003178
25781112,2.62,-0.31,14.63,1.999261,0.9578513,-0.1360141
25801160,2.4,-0.32,14.07,1.982882,0.9226491,-0.09585728
25821141,2.32,-0.41,13.6,1.962527,0.8730794,-0.1302043
25841147,2.33,-0.4,13.26,1.970027,0.8405758,-0.1027071
25861093,1.98,-0.54,13.04,1.939731,0.8302606,-0.1166218
25881174,2.14,-0.47,12.73,1.942456,0.8246133,-0.1218185
25901125,2.04,-0.47,12.47,1.921521,0.8152538,-0.1246102
25921160,2.24,-0.47,12.12,1.908085,0.8050996,-0.1241727
25941086,2.14,-0.45,11.8,1.900157,0.8012335,-0.1033543
25961118,2.16,-0.34,11.43,1.886926,0.7875869,-0.09035759
25981154,2.03,-0.35,11.04,1.873315,0.7867457,-0.1251764
26001111,2.16,-0.25,10.62,1.851141,0.7643489,-0.1039589
26021153,2.2,-0.12,10.25,1.849446,0.7546189,-0.1292109
26041077,2.01,-0.17,9.96,1.832433,0.7163104,-0.1416495
26061125,2.07,-0.12,9.62,1.8241,0.7071512,-0.1306772
26081158,2.09,0.05,9.36,1.797796,0.7010176,-0.08608149
26101137,1.89,0.09,9.11,1.802948,0.6898771,-0.1386717
26121103,2.06,0.03,8.84,1.76088,0.6671096,-0.125779
26141094,1.99,0.01,8.62,1.73859,0.6716732,-0.1293733
26161140,2.04,-0.06,8.35,1.749006,0.6595615,-0.1676341
26181176,2.12,-0.09,8.11,1.711817,0.6510718,-0.1097204
26201150,2.06,-0.23,7.83,1.713965,0.6621928,-0.1286071
26221097,2.09,-0.31,7.52,1.687168,0.6479248,-0.1542543
26241151,2.11,-0.36,7.27,1.674576,0.6318609,-0.08987238
26261140,2.18,-0.47,6.96,1.67385,0.624543,-0.1570039
26281115,2.12,-0.53,6.58,1.657493,0.6340417,-0.09568026
26301160,2.14,-0.68,6.2,1.629605,0.6029786,-0.142359
26321156,2.23,-0.7,5.89,1.610938,0.5867661,-0.08358837
26341112,2.26,-0.83,5.52,1.584431,0.586965,-0.1419677
26361093,2.32,-0.9,5.03,1.551167,0.5831026,-0.1069894
26381159,2.37,-0.84,4.42,1.529587,0.5783351,-0.1284755
26401130,2.31,-0.75,3.77,1.495667,0.5653217,-0.1144341
26421161,2.4,-0.7,2.94,1.462779,0.5524527,-0.1665176
26441143,2.16,-0.71,2.01,1.423684,0.5491527,-0.139915
26461097,2.33,-0.54,0.87,1.37362,0.5532542,-0.1069072
26481099,2.26,-0.35,359.68,1.352831,0.5270693,-0.1290601
26501140,2.44,-0.19,358.27,1.303075,0.512944,-0.1464955
26521162,2.58,-0.04,356.7,1.268649,0.484405,-0.1300419
26541089,2.43,0.12,354.96,1.240844,0.4668704,-0.1332479
26561149,2.13,0.02,353.1,1.212151,0.4326887,-0.1312615
26581165,2.1,0.06,350.96,1.160748,0.4137392,-0.1224527
26601137,2.08,0.03,348.71,1.118373,0.3761202,-0.1244874
26621128,0.53,-0.17,348.29,0.941781,0.3365088,0.1408501
26641083,2.76,-2.01,350.04,0.6932206,0.2084929,0.01824504
26661144,2.34,-3.2,351.84,0.6224135,0.2128303,0.2462453
26681140,1.46,-3.39,353.58,0.5824441,0.2208808,0.3628734
26701140,1.51,-2.58,355.33,0.5477551,0.2154922,0.5405003
26721098,1.97,-1.0,357.0,0.4226767,0.1798088,0.5233275
26741157,2.97,-0.04,357.96,0.5045086,0.2075639,0.221624
26761141,2.88,-0.36,358.59,0.4988427,0.2645252,0.2132025
26781138,2.28,0.22,358.76,0.4643811,0.2515647,0.2592045
26801095,2.55,0.0,358.6,0.4620278,0.2601237,0.3163235
26821204,2.43,-0.06,358.39,0.4545957,0.277239,0.2556061
26841143,2.61,-0.15,357.92,0.4209058,0.279896,0.2865713
26861139,2.59,-0.3,357.39,0.3948417,0.2804348,0.2837909
26881191,2.42,-0.17,356.79,0.3471069,0.2909633,0.3049148
26901092,2.4,-0.04,356.29,0.3244663,0.2654738,0.247553
26921180,2.44,-0.2,355.94,0.2806025,0.287453,0.2632616
26941136,2.3,-0.02,355.66,0.2701907,0.2739181,0.2819162
26961126,2.57,-0.2,355.3,0.2304679,0.2782067,0.2608547
26981111,2.38,-0.05,354.93,0.2066436,0.271457,0.2934708
27001126,2.5,-0.06,354.43,0.1712526,0.2859983,0.287491
27021162,2.23,0.06,353.96,0.1391448,0.249586,0.2874261
27041146,2.29,0.08,353.58,0.1043785,0.2529128,0.2880256
27061065,2.47,0.04,353.22,0.06965905,0.2681871,0.269006
27081191,2.47,0.05,352.86,0.0420734,0.2673154,0.277693
27101143,2.39,0.09,352.41,0.01125083,0.2753099,0.2857549
27121142,2.35,0.11,351.91,-0.02521977,0.2717014,0.2808026
27141095,2.4,0.14,351.47,-0.07354761,0.2632648,0.2853834
27161159,2.45,0.17,351.02,-0.1036055,0.2629724,0.2683079
27181161,2.52,0.18,350.51,-0.1392175,0.2712478,0.2801442
27201133,2.5,0.22,349.95,-0.1590502,0.298299,0.2738547
27221122,2.41,0.27,349.32,-0.1929915,0.2835077,0.277488
27241159,2.46,0.23,348.6,-0.229645,0.2918956,0.2755566
27261129,2.43,0.32,347.87,-0.2611797,0.2896738,0.2862023
27281185,2.42,0.32,347.07,-0.2916853,0.2903032,0.2743648
27301093,2.43,0.3,346.22,-0.3275537,0.2922497,0.2767978
27321147,2.37,0.33,345.35,-0.3573176,0.2917607,0.2757091
27341142,2.34,0.34,344.43,-0.3915574,0.3016777,0.2821879
27361127,2.35,0.32,343.46,-0.4218345,0.3115234,0.2746177
27381108,2.26,0.36,342.43,-0.4390584,0.3189606,0.2804543
27401088,2.24,0.37,341.29,-0.4646889,0.3356787,0.2789531
27421155,2.27,0.37,340.09,-0.485308,0.3404307,0.2722876
27441143,2.09,0.41,338.85,-0.5231141,0.3460934,0.2793553
27461090,2.15,0.37,337.55,-0.5444767,0.3555012,0.265978
27481146,2.08,0.38,336.14,-0.5621476,0.3710171,0.2762786
27501154,2.05,0.41,334.75,-0.5858222,0.3865988,0.2668992
27521170,1.95,0.44,333.32,-0.6019326,0.4050661,0.2857294
27541093,1.97,0.44,331.88,-0.6303621,0.4116602,0.2738136
27561152,1.95,0.38,330.36,-0.6433468,0.4292594,0.2675313
27581171,1.78,0.44,328.8,-0.6575961,0.4415551,0.2829636
27601089,1.75,0.38,327.19,-0.6773002,0.457053,0.2816916
27621175,1.67,0.38,325.55,-0.691213,0.4692036,0.2767689
27641116,1.52,0.39,323.85,-0.7016926,0.4859842,0.2638069
27661138,1.52,0.41,322.04,-0.7062052,0.4999903,0.2780907
27681104,1.38,0.51,320.14,-0.7213248,0.503415,0.2832915
27701090,1.36,0.52,318.13,-0.7261255,0.5233258,0.268168
27721192,1.29,0.57,316.06,-0.7179624,0.5335932,0.276381
27741126,1.14,0.63,313.88,-0.7151265,0.5411572,0.2686762
27761074,1.05,0.67,311.61,-0.7174582,0.5538593,0.2846426
27781110,0.99,0.67,309.26,-0.7270401,0.5636656,0.2747583
27801141,0.95,0.7,306.85,-0.7157113,0.5696845,0.2847152
27821157,0.84,0.72,304.36,-0.7203479,0.5849963,0.2752182
27841128,0.72,0.78,301.82,-0.7149981,0.5899569,0.2756878
27861077,0.55,0.8,299.3,-0.7053774,0.5883747,0.2657077
27881197,0.42,0.85,296.77,-0.6911676,0.5819219,0.2776488
27901147,0.29,0.87,294.21,-0.6868369,0.5832295,0.2709501
27921171,0.3,0.8,291.69,-0.6698906,0.5821322,0.2715442
27941114,0.11,0.85,289.23,-0.666309,0.5842776,0.274723
27961095,0.04,0.81,286.74,-0.6569807,0.5849601,0.2635784
27981201,-0.12,0.83,284.33,-0.6441069,0.5829586,0.2729817
28001137,-0.16,0.77,281.93,-0.636234,0.5784952,0.2654981
28021172,-0.21,0.71,279.52,-0.6094558,0.5757453,0.2787973
28041081,-0.36,0.72,277.12,-0.612403,0.5683417,0.2806273
28061122,-0.39,0.65,274.71,-0.6129431,0.5668517,0.266934
28081165,-0.51,0.63,272.32,-0.603693,0.5595245,0.2705353
28101147,-0.57,0.61,270.0,-0.602717,0.556528,0.2719288
28121079,-0.66,0.58,267.7,-0.5997104,0.5538305,0.2751725
28141094,-0.7,0.53,265.45,-0.591367,0.5463696,0.2731243
28161124,-0.75,0.49,263.17,-0.5891092,0.5398538,0.2737944
