TimeUS,Roll,Pitch,Yaw,VN,VE,VD
5647528,2.19,-0.59,0.0,-0.0001189954,-3.142068e-05,0.003079969
5667535,2.19,-0.59,0.0,-0.0001955379,-6.632694e-05,0.005483136
5687493,2.2,-0.59,359.99,-0.0006733374,-0.0001594169,0.008162416
5707655,2.2,-0.59,359.99,-0.0002888844,-0.0001483185,0.01157276
5727526,2.2,-0.59,359.99,-0.0001535947,-0.0003665008,0.01590103
5747590,2.2,-0.59,359.99,5.587074e-05,-0.0004155305,0.0207892
5767512,2.2,-0.59,359.99,0.0001538643,-0.0005261276,0.02605896
5787495,2.2,-0.59,359.99,0.0004477001,-0.0006418998,0.03133123
5807535,2.2,-0.59,0.0,0.0003596315,-0.0009122799,0.0357306
5827536,2.19,-0.59,0.0,0.0001103865,-0.00079735,0.04082493
5847581,2.19,-0.59,0.0,-3.69453e-05,-0.0005905119,0.04530387
5867514,2.2,-0.59,0.0,-0.0002995557,-0.0006425355,0.04974503
5887497,2.19,-0.59,0.0,-4.450261e-05,-0.0007069024,0.05412959
5907577,2.2,-0.59,0.0,-3.713421e-05,-0.000546272,0.05831534
5927512,2.2,-0.59,0.0,-6.847071e-05,-0.0006059884,0.06201892
5947530,2.2,-0.59,0.0,-0.0004573232,-0.000527537,0.06599283
5967513,2.2,-0.59,0.0,-0.0002076492,-0.0004640766,0.06999208
5987496,2.2,-0.59,0.0,-0.0004736962,-0.0004177492,0.07371239
6007579,2.2,-0.59,0.0,-0.0003884616,-0.0003459914,0.07700077
6027512,2.2,-0.59,0.0,-0.0003713187,-0.000294181,0.08014642
6047527,2.2,-0.59,0.0,-0.0004265495,-0.0005450677,0.08366963
6067538,2.2,-0.59,0.0,-9.131616e-05,-0.0007646747,0.08688105
6087492,2.2,-0.59,0.0,9.577856e-06,-0.0009135985,0.08988652
6107526,2.2,-0.58,0.0,8.721669e-06,-0.000859396,0.092867
6127527,2.2,-0.59,0.0,-0.0001499941,-0.000905842,0.09532981
6147554,2.2,-0.58,0.0,0.0001851299,-0.0009214812,0.0980539
6167523,2.2,-0.58,0.0,0.0001786698,-0.000824599,0.1001517
6187495,2.2,-0.58,0.0,0.0002670738,-0.0009287814,0.1025389
