t_center_s,dt_contact_s,a_xy_peak_m_s2,dv_h_endpoints_m_s,dv_h_integral_m_s,F_peak_N,F_avg_from_impulse_N,v_before_m_s,v_after_m_s,i_seed
2.840225,0.059793,2.9171,0.0771,0.0678,34.9,15.4,2.1870,2.1100,133
3.040185,0.219637,2.2225,0.1929,0.1998,26.6,10.9,2.0622,1.8692,156
3.440381,0.440379,2.2905,1.1920,1.2116,27.4,32.9,1.7376,0.5455,161
3.479892,0.440379,2.4504,1.1920,1.2116,29.3,32.9,1.7376,0.5455,165
3.640186,0.039983,11.9337,0.3423,0.3074,142.6,102.3,1.0001,0.6578,170
4.140180,0.700255,2.2654,0.0000,0.0000,27.1,0.0,0.4843,0.7734,201
4.819817,4.840127,0.6652,0.0000,0.0000,7.9,0.0,0.0660,0.9270,250
5.299792,0.339722,0.5251,0.1083,0.1108,6.3,3.9,0.8051,0.6968,265
